"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"78","model 17 vs 3","adni","","TAU.bl","-0.897419967608695","0.269592865775704","-0.272422867245858","0.817566139195072"
"79","model 17 vs 3","adni","","ABETA.bl","1.31199026805967","0.680224449736502","-1.89755325021999","0.676189898750918"
"80","model 17 vs 3","adni","","COMBINED PVALUES","8","0.00266886143905876","8","0.703856093841844"
"81","model 17 vs 3","adni","_memory","EcogSPMem.bl","-0.00650057256133246","0.194939652863916","-0.00247610336226331","0.725558239190966"
"82","model 17 vs 3","adni","_memory","MMSE_RECALL.bl","-0.0109729265421472","0.0402671347611637","-0.00565979553938507","0.445251004643776"
"83","model 17 vs 3","adni","_memory","ADAS_MEMORY.bl","-0.0751657376812327","0.0219387975152155","-0.0459503754420556","0.311092252252427"
"84","model 17 vs 3","adni","_memory","MOCA_MEMORY.bl","0.0130531961405069","0.635400031491944","0.0140453492031746","0.711207849613012"
"85","model 17 vs 3","adni","_memory","CDMEMORY.bl","-0.0027681246077569","0.128161713011974","-0.00332464091468018","0.189135715226982"
"86","model 17 vs 3","adni","_memory","COMBINED PVALUES","5","0.00775702458958107","5","0.436900347404491"
"87","model 17 vs 3","adni","_language","EcogSPLang.bl","-0.00545697433723869","0.174160418146489","-0.00544275508578216","0.337938696728109"
"88","model 17 vs 3","adni","_language","MMSE_LANGUAGE.bl","-0.00165609863206711","0.650821611049617","-0.00353386349883544","0.484662990596875"
"89","model 17 vs 3","adni","_language","ADAS_LANGUAGE.bl","-0.0100536584528582","0.0499856811126328","-0.00879606741850569","0.216339814729794"
"90","model 17 vs 3","adni","_language","MOCA_LANGUAGE.bl","-0.0310862422259259","0.343904872536677","-0.0525633748874009","0.253786361660472"
"91","model 17 vs 3","adni","_language","COMBINED PVALUES","4","0.0970463396683183","4","0.17057569569861"
"92","model 17 vs 3","adni","_orientation","MMSE_ORIENTATION.bl","0.000281391962040009","0.951487168798455","0.000779388226690518","0.905733121123639"
"93","model 17 vs 3","adni","_orientation","ADAS_ORIENTATION.bl","0.00474903389579423","0.296320579549531","0.0113643962578502","0.0779267107885267"
"94","model 17 vs 3","adni","_orientation","MOCA_ORIENTATION.bl","-0.00498980994511813","0.142000741198087","-0.00936823300953719","0.050441364362593"
"95","model 17 vs 3","adni","_orientation","CDORIENT.bl","-0.00439660942317513","0.00848014351703555","-0.00569207172169712","0.0135714414696495"
"96","model 17 vs 3","adni","_orientation","COMBINED PVALUES","4","0.121554081936867","4","0.0240130915529897"
"97","model 17 vs 3","adni","_visuospatial","EcogSPVisspat.bl","-0.0084599449034439","0.0108483451078529","-0.00555563354339014","0.234795334118122"
"98","model 17 vs 3","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","0.00119954302482566","0.744900969215081","-0.0036913570756882","0.468477961953923"
"99","model 17 vs 3","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0138887916078443","0.03028712412415","0.0120588754697337","0.176712822794112"
"100","model 17 vs 3","adni","_visuospatial","COMBINED PVALUES","3","0.021247786157293","3","0.15891300162717"
"101","model 17 vs 3","adni","_execfunc","EcogSPEF.bl","-0.0067708504043241","0.0793089990014214","-0.00482480901090736","0.378163086934109"
"102","model 17 vs 3","adni","_execfunc","MMSE_ATTCALC.bl","-0.00269008221978393","0.630332185925546","-0.00550397841464687","0.469465703147743"
"103","model 17 vs 3","adni","_execfunc","MOCA_EF.bl","0.0154814349323863","0.189169272813574","-0.00320139682475059","0.839823692531948"
"104","model 17 vs 3","adni","_execfunc","CDJUDGE.bl","-0.00246472603323506","0.167367753499663","-0.00302354778016474","0.220114367732754"
