"","run_ind","exp_ind","experiment","dataset","seed","RMSE","ASSOC","RMSE_t","ASSOC_t","RMSE_t2","ASSOC_t2","RMSE_ADNI","ASSOC_ADNI","RMSE_UCL","ASSOC_UCL","RMSE_EPAD","ASSOC_EPAD","RMSE_ADNI_CN","ASSOC_ADNI_CN","RMSE_ADNI_MCI","ASSOC_ADNI_MCI","RMSE_ADNI_AD","ASSOC_ADNI_AD","exp_grp"
"437",437,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4562,296.439308683712,0.459267292816359,306.63227039838,0.402115449308965,329.212476902125,0.482332474029331,334.377261731846,0.49551617980221,310.595876626445,0.133743640906433,324.047692072405,0.469148768256453,348.77627333763,0.432619180592409,313.618110659943,0.581766395027416,371.082686586058,0.480362761694887,10
"438",438,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4563,296.607631688,0.457691097000845,306.265748808469,0.404432741478818,330.264412236188,0.477807332032892,332.544910849441,0.504886095987288,323.253542724477,-0.00946456867819056,327.983913622936,0.450728568078496,344.40930885332,0.488897715924687,313.875020589202,0.575898991565243,367.721382369547,0.484552302364558,10
"439",439,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4564,298.272496738522,0.46045491140372,305.394818958307,0.397647457228453,329.805259637496,0.482701988678374,332.100696231655,0.506404543630128,317.397955165901,0.0406988464752664,327.509823043336,0.458999433726619,336.588733173083,0.50939405568722,315.564894020712,0.573608519399794,373.412059427647,0.470512455434697,10
"440",440,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4565,295.532776806827,0.466448427802439,307.061117955388,0.398540733660742,323.88425404507,0.501725610569584,324.343238131085,0.537487563724407,312.260253700828,0.128937006958313,323.425269959056,0.465963657414761,333.651527104338,0.519368728784967,304.033302392284,0.614392103515633,368.007981656685,0.485583432452054,10
"441",441,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4566,295.718083964458,0.458014008766798,306.876894005462,0.406484774871288,328.027139426733,0.485963705726457,331.031699860896,0.508500230729176,322.763821651319,-0.0332358089142739,325.022578992569,0.463427180723739,341.169077095078,0.470407790701544,313.38414969512,0.576891503815085,366.231145764001,0.488357981367777,10
"442",442,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4567,295.790655121448,0.464333405506007,307.021368270605,0.398304996608432,332.19426444486,0.471544497389265,337.821115339514,0.480978713871885,314.311995379008,0.066357781358894,326.567413550206,0.462110280906645,350.340228602986,0.459574021460619,319.104123594283,0.554731755046719,372.096640028977,0.455895174422723,10
"443",443,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4568,295.528403072156,0.458891037688737,306.957331422745,0.405566773702653,326.267406275804,0.496086622157107,328.63647824398,0.522841372117333,308.38731363737,0.179224864711496,323.898334307628,0.469331872196882,340.284000720284,0.497667066073177,310.189425003213,0.592443788634793,363.518196270757,0.499286860095015,10
"444",444,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4569,295.333189612839,0.463948823136771,307.201921640228,0.400336985251053,327.825650335408,0.487801980899256,329.667617692328,0.516883043366351,317.62164266051,0.0171670613107059,325.983682978488,0.458720918432162,336.196375615724,0.499763910625643,311.985037303402,0.587681634333191,370.804663398993,0.470339593878215,10
"445",445,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4570,295.475136994797,0.459975661629263,306.918087373708,0.404737504765594,328.956885370265,0.481858318127759,329.521537626765,0.514200689572763,315.45034546968,0.0803790732241493,328.392233113765,0.449515946682755,338.836509424632,0.473279082735411,309.946257694296,0.59430916845164,371.283022010655,0.472743729728319,10
"446",446,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4571,296.499632547915,0.463208819141077,306.185542497555,0.399868608603013,328.689071382394,0.482610011019762,331.473493077473,0.502004058483044,319.555429338156,0.0128962179016182,325.904649687316,0.46321596355648,340.828794411877,0.4739919586197,310.156985790812,0.585593653369648,377.833335547771,0.435625960304845,10
"447",447,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4572,297.785731960684,0.459581527252561,305.449802537704,0.40036411769244,327.834319097396,0.481836346258854,328.196273115231,0.515423399258181,317.05431660069,0.0582050247718405,327.47236507956,0.448249293259527,335.847227726349,0.482025653721753,308.077824892542,0.595237270327166,374.048362914032,0.4770846594221,10
"448",448,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4573,295.029400476035,0.457944877218166,307.161029438905,0.407972904542497,329.17072513025,0.481612147487019,332.640958768176,0.499661907675839,319.523357226353,0.0229765009107476,325.700491492324,0.463562387298199,338.953228954222,0.472429650835314,315.968096111733,0.563311671066023,371.409872634693,0.45789209143281,10
"449",449,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4574,295.988116622319,0.455824472842984,306.830274710877,0.407101550086876,327.557617941579,0.489819983286055,329.461121402854,0.518225985033291,315.966623477746,0.071336434726994,325.654114480303,0.461413981538819,333.225328015701,0.523711573954528,314.850687919817,0.575521235921916,366.628784578028,0.49444367682865,10
