"","models compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"555","model 17 vs 8","epad","_visuospatial","st_trial_total","3.06040709126724","-0.0343769375464818","0.768379935830687","4.84e-01","7.68e-01","0.268424923502517","0.120245235001558","2.98e-01","1.2e-01"
"556","model 17 vs 8","epad","_visuospatial","rbans_visuo_constructional_index","3.05727452271231","0.440939466873689","0.587085439057687","8.62e-01","5.87e-01","-0.819675783442639","0.48891896206448","7.84e-01","4.89e-01"
"557","model 17 vs 8","epad","_visuospatial","COMBINED PVALUES","0","4","0","0","0.952771009327753","4","0","0","0.133356747093969"
"558","model 17 vs 8","epad","_execfunc","mmse_calc_total","2.40766550522648","-0.00265846740964969","0.275510465691796","5.59e-03","2.75e-01","0.00240262747387684","0.476599912646924","3.45e-01","4.84e-01"
"559","model 17 vs 8","epad","_execfunc","cdr_judgement","3.05464121132324","0.00016401701233276","0.0714548527346937","1.91e-02","7.49e-02","0.00017018549578665","0.206112711461438","2.28e-01","2.08e-01"
"560","model 17 vs 8","epad","_execfunc","COMBINED PVALUES","0","2","0","0","0.0747806906796212","2","0","0","0.273083516601925"
"561","model 17 vs 9","adni","","MMSE","6.28609625668449","0.0641326977869592","0.0249167428304554","7.71e-02","2.47e-02","0.0553278959711742","0.194502454422437","4.21e-01","1.94e-01"
"562","model 17 vs 9","adni","","CDRSB","6.33689839572193","-0.0372455130445581","0.00790791209434698","2.85e-02","7.8e-03","-0.0179894154567305","0.366542187355291","5.75e-01","3.66e-01"
"563","model 17 vs 9","adni","","EcogSPTotal","5.26884779516358","-0.00176010285781261","0.053341392532673","4.98e-02","5.26e-02","-0.0021717493522774","0.116646414150502","2.82e-01","1.16e-01"
"564","model 17 vs 9","adni","","ADAS13","6.03059805285118","-0.487274114411887","0.00609311434492189","2.12e-02","5.93e-03","-0.456277602532326","0.093930164154894","1.89e-01","9.32e-02"
"565","model 17 vs 9","adni","","MOCA","5.16901408450704","0.048761700184535","0.112100712535904","2.05e-01","1.11e-01","0.0377950428090141","0.424544444690593","5.8e-01","4.24e-01"
"566","model 17 vs 9","adni","","GDTOTAL","6.2379679144385","-0.00284892196655632","0.493382240578557","2.02e-01","4.94e-01","0.0112692572267043","0.085444100814707","8.63e-02","8.47e-02"
"567","model 17 vs 9","adni","","PTAU","2.27710843373494","-0.165290860044906","0.563584886812576","1.66e-01","5.63e-01","-0.0305763060139717","0.948078727521802","6.35e-01","9.48e-01"
"568","model 17 vs 9","adni","","TAU","2.27710843373494","-22.1214358218167","0.290080728955859","1.75e-01","2.89e-01","-25.8428678590862","0.450784734938856","5.15e-01","4.5e-01"
"569","model 17 vs 9","adni","","ABETA","2.27710843373494","262.746600577803","0.409082486500404","7.59e-02","4.08e-01","-135.640285450135","0.762840677227108","6.75e-01","7.63e-01"
"570","model 17 vs 9","adni","","COMBINED PVALUES","0","8","0","0","0.000549010725234202","8","0","0","0.167166243480276"
"571","model 17 vs 9","adni","_memory","EcogSPMem","5.26241134751773","-0.00180219042601946","0.101713248900265","7.78e-02","1e-01","-0.00208721672921883","0.216877995891071","4.63e-01","2.16e-01"
"572","model 17 vs 9","adni","_memory","MMSE_RECALL","5.60026737967914","-0.00239824042801425","0.33654976824942","1.95e-01","3.37e-01","-0.00157312177376432","0.693064045308242","8.08e-01","6.93e-01"
"573","model 17 vs 9","adni","_memory","ADAS_MEMORY","6.06805555555556","-0.113917530333301","0.0150190259761937","3.6e-02","1.47e-02","-0.120376858561052","0.103624946654934","2.64e-01","1.03e-01"
"574","model 17 vs 9","adni","_memory","MOCA_MEMORY","5.13411078717201","0.0360464676987657","0.195858329013377","3.32e-01","1.95e-01","0.0129419229632111","0.762808911375759","9.4e-01","7.63e-01"
"575","model 17 vs 9","adni","_memory","CDMEMORY","6.39839572192513","-0.000697869014271006","0.109184894978996","1.55e-01","1.08e-01","-0.000264055561963481","0.684903272882894","7.07e-01","6.85e-01"
"576","model 17 vs 9","adni","_memory","COMBINED PVALUES","0","5","0","0","0.00375811336325731","5","0","0","0.438104015988362"
"577","model 17 vs 9","adni","_language","EcogSPLang","5.25957446808511","-0.00170607046855478","0.0390403818986343","5.47e-02","3.84e-02","-0.00182557174160341","0.156674148819219","3.59e-01","1.55e-01"
"578","model 17 vs 9","adni","_language","MMSE_LANGUAGE","6.28208556149733","-0.00245768659224176","0.132421161914411","2.48e-01","1.32e-01","-0.00462673538378826","0.0808612142251301","2.15e-01","8.03e-02"
"579","model 17 vs 9","adni","_language","ADAS_LANGUAGE","6.08472222222222","-0.00917953404154209","0.0556004109048655","1.54e-01","5.43e-02","-0.00809773172473587","0.277042111053631","4.65e-01","2.76e-01"
"580","model 17 vs 9","adni","_language","MOCA_LANGUAGE","5.1688500727802","0.0239019196413992","0.423685473529352","6.68e-01","4.28e-01","0.0214919587486911","0.653527491083486","5.05e-01","6.55e-01"
"581","model 17 vs 9","adni","_language","COMBINED PVALUES","0","4","0","0","0.00973864581817785","4","0","0","0.0955902852548122"
"582","model 17 vs 9","adni","_orientation","MMSE_ORIENTATION","6.28609625668449","-0.0165880055133685","0.00557491679016431","1.95e-02","5.32e-03","-0.0187731587778046","0.0430117953778075","1.2e-01","4.25e-02"
"583","model 17 vs 9","adni","_orientation","ADAS_ORIENTATION","6.07361111111111","-0.0101172239647668","0.00131753251470694","4.53e-03","1.21e-03","-0.00891531757019022","0.0572664612460136","1.52e-01","5.62e-02"
"584","model 17 vs 9","adni","_orientation","MOCA_ORIENTATION","5.1734693877551","0.00522755357111344","0.025022619218477","7.48e-02","2.41e-02","0.00260349754180951","0.471677694171509","3.27e-01","4.72e-01"
"585","model 17 vs 9","adni","_orientation","CDORIENT","6.39839572192513","-0.000876646305061244","0.0414362570176081","6.81e-02","4.07e-02","-0.000788670921908258","0.2164480026261","2.5e-01","2.15e-01"
"586","model 17 vs 9","adni","_orientation","COMBINED PVALUES","0","4","0","0","1.63691177950333e-06","4","0","0","0.0185501684438383"
"587","model 17 vs 9","adni","_visuospatial","EcogSPVisspat","5.20454545454545","-0.00190158762216548","0.0342753830302351","4.6e-02","3.34e-02","-0.00140939323164838","0.312814251282063","5.58e-01","3.12e-01"
"588","model 17 vs 9","adni","_visuospatial","ADAS_VISUOSPATIAL","6.07638888888889","-0.00114300799407753","0.0425861575085081","7.55e-02","4.13e-02","-0.000623562901771701","0.488871848380616","7.88e-01","4.9e-01"
"589","model 17 vs 9","adni","_visuospatial","MOCA_VISUOSPATIAL","5.17030567685589","7.95569831608509e-05","0.961655751846952","2.39e-01","9.62e-01","-0.000192193563756834","0.943269410656552","7.89e-01","9.43e-01"
"590","model 17 vs 9","adni","_visuospatial","COMBINED PVALUES","0","3","0","0","0.150097537066311","3","0","0","0.730722150174149"
"591","model 17 vs 9","adni","_execfunc","EcogSPEF","5.03230543318649","-0.00211321739963893","0.0371730027179091","1.39e-02","3.62e-02","-0.00239009252325525","0.133431680610825","3.14e-01","1.33e-01"
"592","model 17 vs 9","adni","_execfunc","MMSE_ATTCALC","5.59893048128342","-0.00288053812619269","0.404362718250101","3.49e-01","4.04e-01","-0.00517274569584034","0.327346847229281","3.25e-01","3.27e-01"
"593","model 17 vs 9","adni","_execfunc","MOCA_EF","5.16544655929722","0.0199236359795421","0.1506358146108","2.82e-01","1.48e-01","0.018319846820948","0.424556276168722","7.01e-01","4.24e-01"
"594","model 17 vs 9","adni","_execfunc","CDJUDGE","6.39839572192513","-0.000655863005006225","0.0982938998084345","8.19e-02","9.79e-02","-0.000493924263533123","0.417060567876092","6.29e-01","4.17e-01"
"595","model 17 vs 9","adni","_execfunc","COMBINED PVALUES","0","4","0","0","0.0142936642695989","4","0","0","0.163323645857682"
"596","model 17 vs 9","epad","","mmse_total","2.40766550522648","-0.00511910379773114","0.462439554920362","2.18e-02","4.64e-01","-0.00816218266835805","0.384476530678101","1.38e-02","3.85e-01"
"597","model 17 vs 9","epad","","cdr_sum_of_box","3.05398288347597","-0.000643829743564211","0.446823229700287","4.73e-02","4.48e-01","0.00102771587827788","0.33663878516318","5.27e-01","3.36e-01"
"598","model 17 vs 9","epad","","rbans_total_scale","3.05540897097625","-0.117234343514407","0.791689427733173","7.57e-01","7.92e-01","0.320552731025012","0.610047239723709","7.28e-01","6.1e-01"
"599","model 17 vs 9","epad","","flanker_score","2.55206847360913","-0.002205143668762","0.10446651347482","2.25e-01","1.03e-01","-0.0026724393900137","0.137442511274747","3.16e-01","1.38e-01"
"600","model 17 vs 9","epad","","dotcount_total","2.66502463054187","0.105248988789386","0.212490361819931","2.36e-01","2.13e-01","0.139266579933887","0.250117334405249","4.82e-01","2.5e-01"
"601","model 17 vs 9","epad","","fav_delay_total_correct","2.58436724565757","0.0491095882577221","0.700648035587927","5.74e-01","7e-01","0.0946106998840095","0.592579166459881","8.52e-01","5.92e-01"
