"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"22","model 17 vs 1","adni","_orientation","MMSE_ORIENTATION.bl","-0.00663940126886395","0.251531118935878","-0.0183876555664843","0.0591968410487614"
"23","model 17 vs 1","adni","_orientation","ADAS_ORIENTATION.bl","-0.00877776977060448","0.108896043517165","-0.0197387391479604","0.0422767663493312"
"24","model 17 vs 1","adni","_orientation","MOCA_ORIENTATION.bl","0.00761081046330678","0.0846648479093712","0.0177383357455011","0.0197117534256736"
"25","model 17 vs 1","adni","_orientation","CDORIENT.bl","-0.00431887979008537","0.0105767823873009","-0.00728618641118975","0.0115002387382628"
"26","model 17 vs 1","adni","_orientation","COMBINED PVALUES","4","0.00262852042853749","4","6.95434869882246e-05"
"27","model 17 vs 1","adni","_visuospatial","EcogSPVisspat.bl","-0.0105907551691305","0.00085090368949571","-0.0123206442389012","0.0217562137520257"
"28","model 17 vs 1","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","-0.001626785339176","0.595378206706447","-0.00544119910612175","0.302170875614492"
"29","model 17 vs 1","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.015720679751193","0.00389923025602924","0.0243387963771341","0.00938680670715146"
"30","model 17 vs 1","adni","_visuospatial","COMBINED PVALUES","3","0.000667340083385101","3","0.00239024357765476"
"31","model 17 vs 1","adni","_execfunc","EcogSPEF.bl","-0.00857095662253887","0.014752603687707","-0.0118493762821104","0.0501304960019403"
"32","model 17 vs 1","adni","_execfunc","MMSE_ATTCALC.bl","-0.0065303264583028","0.180169401136488","-0.00621482483292356","0.466703429801181"
"33","model 17 vs 1","adni","_execfunc","MOCA_EF.bl","0.0188131071499367","0.132528765966281","0.0558354101620814","0.0109634668847023"
"34","model 17 vs 1","adni","_execfunc","CDJUDGE.bl","-0.00346252883732315","0.0357912513545505","-0.00742784891301227","0.00651225330506947"
"35","model 17 vs 1","adni","_execfunc","COMBINED PVALUES","4","0.00133299789410903","4","0.00057512204873935"
"36","model 17 vs 1","epad","","mmse_total.bl","0.0178362107993068","0.0027609535993355","0.0243694564469081","0.0150678985277675"
"37","model 17 vs 1","epad","","cdr_sum_of_box.bl","-0.00406525812239233","0.0910818947922768","-0.00409829887256832","0.297560511101191"
"38","model 17 vs 1","epad","","rbans_total_scale.bl","0.0879489906669613","0.0759987444807369","0.132684437611675","0.106911736766681"
"39","model 17 vs 1","epad","","flanker_score.bl","0.00660406409180968","0.0530844700780877","0.00727994343495093","0.171928028681587"
"40","model 17 vs 1","epad","","dotcount_total.bl","0.0287089349087171","0.136558669522937","0.025174295730459","0.435312074017493"
"41","model 17 vs 1","epad","","fav_delay_total_correct.bl","0.0310061768835726","0.251987983764998","0.0804604910846745","0.0688593894943925"
"42","model 17 vs 1","epad","","fav_learn_r2_correct.bl","0.0116819111268244","0.250705545318434","0.0375430587753648","0.0236417555450433"
"43","model 17 vs 1","epad","","fav_learn_r1_correct.bl","0.00893980818194641","0.291693137116464","0.0165111114450929","0.228375402780546"
"44","model 17 vs 1","epad","","fav_rec_total_correct.bl","0.00729894854307808","0.268939843306745","0.0108861213107862","0.315522074454953"
"45","model 17 vs 1","epad","","gds_total.bl","-0.0089566600094768","0.575452266491935","0.00738715862900191","0.780812256531723"
"46","model 17 vs 1","epad","","ptau_result.bl","-0.0144352335947199","0.67950836048439","0.0198120762646692","0.726735446568433"
"47","model 17 vs 1","epad","","ttau_result.bl","-0.231740354674137","0.476191772652443","0.166282702264693","0.754895299484818"
"48","model 17 vs 1","epad","","abeta_1_42_result.bl","1.3661208443539","0.375295698157397","2.06895128364729","0.425556284455799"
"49","model 17 vs 1","epad","","st_trial_total.bl","0.0370322075054324","0.0119237368523323","0.0424481632617091","0.0868103836276155"
"50","model 17 vs 1","epad","","fms_med_total.bl","-0.000876753820009244","0.942186652393805","-0.0126801027511079","0.532290761095017"
"51","model 17 vs 1","epad","","COMBINED PVALUES","13","0.00363964374034385","13","0.0139740286603174"
"52","model 17 vs 1","epad","_memory","rbans_delayed_memory_index.bl","0.0952638922640348","0.0859714443204956","0.157817513215451","0.0905806866331797"
"53","model 17 vs 1","epad","_memory","rbans_immediate_memory_index.bl","0.0289102917083032","0.567951059786744","0.12759305810435","0.130638405942003"
"54","model 17 vs 1","epad","_memory","mmse_recall_total.bl","0.00479893938046467","0.0604888710878436","0.00631433568322877","0.145660749183666"
"55","model 17 vs 1","epad","_memory","cdr_memory.bl","-0.00101968159041873","0.23278835466504","-0.00146626061231759","0.294970216326654"
